"state","year","electric_ev","plug_in_hybrid_electric_phev","charging_station_count","income","education","population","non_ev_total"
"HI",2020,10700,3200,492,84600,0.355,1451043,1046400
"ID",2020,2300,1700,222,69841,0.309,1849202,1827500
"AL",2021,4700,3300,480,56929,0.274,5049846,4707600
"AK",2021,1300,500,102,81133,0.328,734182,561000
"AZ",2021,40700,15500,1494,70821,0.324,7264877,6232500
"AR",2021,2400,1800,310,50784,0.253,3028122,2675700
"CA",2021,563100,315300,25236,81575,0.362,39142991,34111700
"CO",2021,37000,16100,2924,84954,0.444,5811297,5179800
"CT",2021,13300,9200,928,80958,0.421,3623355,2828000
"DE",2021,3000,2000,252,68687,0.356,1004807,899300
"District of Columbia",2021,3700,2500,NULL,90640,0.63,NULL,314900
"FL",2021,95600,32200,4628,59734,0.332,21828069,17504400
"GA",2021,34000,13600,2814,61497,0.346,10788029,9270900
"HI",2021,14200,4500,650,82199,0.353,1447154,1057800
"ID",2021,3500,2500,282,76918,0.307,1904314,1875700
"IL",2021,36500,18300,1792,79253,0.371,12686469,9913300
"IN",2021,10400,7500,606,70190,0.289,6813532,6018200
"IA",2021,3700,3600,492,72429,0.305,3197689,3043800
"KS",2021,4500,3300,910,75979,0.354,2937922,2565100
"KY",2021,4200,3100,422,55629,0.27,4506589,3980900
"LA",2021,3200,2000,302,57206,0.264,4627098,3794100
"ME",2021,3000,4200,594,71139,0.36,1377238,1218600
"MD",2021,25600,17200,2276,97332,0.425,6174610,4976300
"MA",2021,30500,22200,3920,86566,0.466,6989690,5339700
"MI",2021,17500,17200,1490,64488,0.317,10037504,8311900
"MN",2021,15000,8900,1008,80441,0.389,5711471,5155800
"MS",2021,1300,1100,208,46637,0.248,2949586,2717200
"MO",2021,10000,7200,1946,63594,0.317,6169823,5500000
"MT",2021,1600,1100,144,64999,0.348,1106227,974700
"NE",2021,2700,2000,324,78109,0.344,1963554,1896700
"NV",2021,17400,6300,812,64340,0.276,3146402,2430900
"NH",2021,4000,3500,304,88841,0.402,1387505,1358000
"NJ",2021,47800,18500,1276,88559,0.431,9267961,6990700
"NM",2021,4200,2800,356,53463,0.301,2116677,1871800
"NY",2021,51900,44600,5432,72920,0.399,19857492,11198100
"NC",2021,25200,13500,1986,62891,0.349,10565885,8797100
"ND",2021,400,400,138,68882,0.317,777934,767000
"OH",2021,21200,13100,1774,62689,0.307,11764342,10293100
"OK",2021,7100,6900,588,60096,0.279,3991225,4061400
"OR",2021,30300,16900,1700,81855,0.363,4256301,3673700
"PA",2021,26800,17800,1984,72627,0.345,13012059,10181600
"RI",2021,2500,2400,490,74982,0.365,1096985,870400
"SC",2021,7400,4700,752,62542,0.315,5193266,4807300
"SD",2021,700,700,116,73893,0.317,896164,908000
"TN",2021,12200,6300,1206,62166,0.305,6968351,6176100
"TX",2021,80900,30600,3972,67404,0.331,29558864,24471300
"UT",2021,16500,7500,1386,87649,0.368,3339113,2886300
"VT",2021,3400,3200,602,76079,0.444,646972,590400
"VA",2021,30700,15800,2088,80268,0.418,8657365,7534400
"WA",2021,66800,24300,3084,87648,0.39,7740745,6735000
"WV",2021,1000,1000,218,46836,0.241,1785526,1472800
"WI",2021,9300,7700,710,69943,0.325,5880101,5473000
"WY",2021,500,400,138,71052,0.292,579483,564762
"AL",2020,2900,2100,384,57243,0.278,5031362,4636600
"AK",2020,900,400,70,78236,0.319,732923,573400
"AZ",2020,28800,11200,804,70220,0.33,7179943,6142200
"AR",2020,1300,1100,204,53148,0.249,3014195,2627200
"CA",2020,425300,265500,12174,81278,0.369,39501653,33532000
"CO",2020,24700,10800,1732,87689,0.442,5784865,5067900
"CT",2020,9000,6200,802,83141,0.424,3597362,2881500
"DE",2020,1900,1500,144,73292,0.347,992114,904000
"District of Columbia",2020,2400,1600,NULL,92337,0.636,NULL,313100
"FL",2020,58200,22400,3022,60460,0.337,21589602,17133800
"GA",2020,23500,9400,1590,62033,0.348,10729828,8967300
"IL",2020,26000,13000,1196,77805,0.376,12786580,10104600
"IN",2020,7000,5300,446,69925,0.289,6788799,5963500
"IA",2020,2300,2600,316,72030,0.295,3190571,3033300
"KS",2020,3100,2400,426,76495,0.351,2937919,2559000
"KY",2020,2600,2100,278,59405,0.274,4507445,3926000
"LA",2020,2000,1200,262,53576,0.272,4651664,3789900
"ME",2020,1900,2800,426,66667,0.335,1363557,1208400
"MD",2020,18000,11900,1540,99215,0.431,6173205,4768100
"MA",2020,21000,15600,1718,91912,0.469,6995729,5316100
"MI",2020,10600,12500,852,67399,0.321,10069577,8399500
"MN",2020,10400,6700,692,82431,0.379,5709852,5139800
"MS",2020,800,700,180,47242,0.245,2958141,2699200
"MO",2020,6700,5300,874,65081,0.319,6153998,5490200
"MT",2020,900,600,126,59390,0.346,1087075,952500
"NE",2020,1800,1300,168,75622,0.333,1962642,1863100
"NV",2020,11000,4200,452,64020,0.28,3115648,2367200
"NH",2020,2700,2500,248,93045,0.402,1378587,1357600
"NJ",2020,30400,12800,832,89543,0.431,9271689,6989900
"NM",2020,2600,1900,206,53283,0.301,2118390,1831200
"NY",2020,32600,32600,3398,71865,0.395,20108296,11300100
"NC",2020,16200,9300,1366,63252,0.348,10449445,8664800
"ND",2020,200,300,100,67109,0.318,779518,768600
"OH",2020,14500,9500,1088,63198,0.306,11797517,10223500
"OK",2020,3400,1800,470,54921,0.27,3964912,3935900
"OR",2020,22800,11800,1178,80443,0.363,4244795,3575400
"PA",2020,17500,12800,1258,74094,0.34,12994440,10126100
"RI",2020,1600,1600,266,83918,0.38,1096345,872400
"SC",2020,4400,3000,574,63159,0.317,5131848,4708800
"SD",2020,400,500,86,73467,0.284,887799,904600
"TN",2020,7800,4300,728,57542,0.307,6925619,6123800
"TX",2020,52200,20400,2468,71599,0.332,29232474,24272700
"UT",2020,11200,5200,720,87915,0.369,3283785,2827600
"VT",2020,2200,2300,450,70398,0.421,642893,593900
"VA",2020,20500,11200,1386,86053,0.42,8636471,7618700
"WA",2020,50500,18400,1892,85157,0.384,7724031,6667900
"WV",2020,600,700,172,54396,0.231,1791420,1467200
"WI",2020,6300,5900,500,70553,0.318,5896271,5516700
"WY",2020,300,300,118,68506,0.282,577605,619000
"AL",2019,2000,1800,320,59558,0.263,4903185,4545100
"AK",2019,700,400,38,83079,0.302,731545,586800
"AZ",2019,19500,9600,642,74897,0.302,7278717,6089600
"AR",2019,900,1000,180,57799,0.233,3017804,2576300
"CA",2019,349700,247300,6006,82772,0.35,39512223,32938000
"CO",2019,19200,9300,1162,76832,0.427,5758736,5147300
"CT",2019,6900,5700,724,92507,0.398,3565287,2932400
"DE",2019,1300,1300,100,78628,0.332,973764,885500
"District of Columbia",2019,1800,1300,NULL,98675,0.597,NULL,325100
"FL",2019,40300,20400,2366,61856,0.307,21477737,16871300
"GA",2019,19000,8400,1164,60012,0.325,10617423,8804400
